Antall datapunkter: 101
X: -5.000, Y: 25.000, dy: -9.900
X: -4.900, Y: 24.010, dy: -9.700
X: -4.800, Y: 23.040, dy: -9.500
X: -4.700, Y: 22.090, dy: -9.300
X: -4.600, Y: 21.160, dy: -9.100
X: -4.500, Y: 20.250, dy: -8.900
X: -4.400, Y: 19.360, dy: -8.700
X: -4.300, Y: 18.490, dy: -8.500
X: -4.200, Y: 17.640, dy: -8.300
X: -4.100, Y: 16.810, dy: -8.100
X: -4.000, Y: 16.000, dy: -7.900
X: -3.900, Y: 15.210, dy: -7.700
X: -3.800, Y: 14.440, dy: -7.500
X: -3.700, Y: 13.690, dy: -7.300
X: -3.600, Y: 12.960, dy: -7.100
X: -3.500, Y: 12.250, dy: -6.900
X: -3.400, Y: 11.560, dy: -6.700
X: -3.300, Y: 10.890, dy: -6.500
X: -3.200, Y: 10.240, dy: -6.300
X: -3.100, Y: 9.610, dy: -6.100
X: -3.000, Y: 9.000, dy: -5.900
X: -2.900, Y: 8.410, dy: -5.700
X: -2.800, Y: 7.840, dy: -5.500
X: -2.700, Y: 7.290, dy: -5.300
X: -2.600, Y: 6.760, dy: -5.100
X: -2.500, Y: 6.250, dy: -4.900
X: -2.400, Y: 5.760, dy: -4.700
X: -2.300, Y: 5.290, dy: -4.500
X: -2.200, Y: 4.840, dy: -4.300
X: -2.100, Y: 4.410, dy: -4.100
X: -2.000, Y: 4.000, dy: -3.900
X: -1.900, Y: 3.610, dy: -3.700
X: -1.800, Y: 3.240, dy: -3.500
X: -1.700, Y: 2.890, dy: -3.300
X: -1.600, Y: 2.560, dy: -3.100
X: -1.500, Y: 2.250, dy: -2.900
X: -1.400, Y: 1.960, dy: -2.700
X: -1.300, Y: 1.690, dy: -2.500
X: -1.200, Y: 1.440, dy: -2.300
X: -1.100, Y: 1.210, dy: -2.100
X: -1.000, Y: 1.000, dy: -1.900
X: -0.900, Y: 0.810, dy: -1.700
X: -0.800, Y: 0.640, dy: -1.500
X: -0.700, Y: 0.490, dy: -1.300
X: -0.600, Y: 0.360, dy: -1.100
X: -0.500, Y: 0.250, dy: -0.900
X: -0.400, Y: 0.160, dy: -0.700
X: -0.300, Y: 0.090, dy: -0.500
X: -0.200, Y: 0.040, dy: -0.300
X: -0.100, Y: 0.010, dy: -0.100
X: 0.000, Y: 0.000, dy: 0.100
X: 0.100, Y: 0.010, dy: 0.300
X: 0.200, Y: 0.040, dy: 0.500
X: 0.300, Y: 0.090, dy: 0.700
X: 0.400, Y: 0.160, dy: 0.900
X: 0.500, Y: 0.250, dy: 1.100
X: 0.600, Y: 0.360, dy: 1.300
X: 0.700, Y: 0.490, dy: 1.500
X: 0.800, Y: 0.640, dy: 1.700
X: 0.900, Y: 0.810, dy: 1.900
X: 1.000, Y: 1.000, dy: 2.100
X: 1.100, Y: 1.210, dy: 2.300
X: 1.200, Y: 1.440, dy: 2.500
X: 1.300, Y: 1.690, dy: 2.700
X: 1.400, Y: 1.960, dy: 2.900
X: 1.500, Y: 2.250, dy: 3.100
X: 1.600, Y: 2.560, dy: 3.300
X: 1.700, Y: 2.890, dy: 3.500
X: 1.800, Y: 3.240, dy: 3.700
X: 1.900, Y: 3.610, dy: 3.900
X: 2.000, Y: 4.000, dy: 4.100
X: 2.100, Y: 4.410, dy: 4.300
X: 2.200, Y: 4.840, dy: 4.500
X: 2.300, Y: 5.290, dy: 4.700
X: 2.400, Y: 5.760, dy: 4.900
X: 2.500, Y: 6.250, dy: 5.100
X: 2.600, Y: 6.760, dy: 5.300
X: 2.700, Y: 7.290, dy: 5.500
X: 2.800, Y: 7.840, dy: 5.700
X: 2.900, Y: 8.410, dy: 5.900
X: 3.000, Y: 9.000, dy: 6.100
X: 3.100, Y: 9.610, dy: 6.300
X: 3.200, Y: 10.240, dy: 6.500
X: 3.300, Y: 10.890, dy: 6.700
X: 3.400, Y: 11.560, dy: 6.900
X: 3.500, Y: 12.250, dy: 7.100
X: 3.600, Y: 12.960, dy: 7.300
X: 3.700, Y: 13.690, dy: 7.500
X: 3.800, Y: 14.440, dy: 7.700
X: 3.900, Y: 15.210, dy: 7.900
X: 4.000, Y: 16.000, dy: 8.100
X: 4.100, Y: 16.810, dy: 8.300
X: 4.200, Y: 17.640, dy: 8.500
X: 4.300, Y: 18.490, dy: 8.700
X: 4.400, Y: 19.360, dy: 8.900
X: 4.500, Y: 20.250, dy: 9.100
X: 4.600, Y: 21.160, dy: 9.300
X: 4.700, Y: 22.090, dy: 9.500
X: 4.800, Y: 23.040, dy: 9.700
X: 4.900, Y: 24.010, dy: 9.900
X: 5.000, Y: 25.000, dy: 10.100
